species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Melesmeles,Lepidoptera,169.0,252.24,"Mir-1329, Mir-134, Mir-1379, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-598, Mir-675, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76, Mir-9851",187,279.1,"Mir-1296, Mir-1416, Mir-1805, Mir-1842, Mir-2114, Mir-224, Mir-2355, Mir-2483, Mir-337, Mir-448, Mir-541, Mir-590, Mir-671, Mir-6715, Mir-672, Mir-722, Mir-737, Mir-877"
Melinaeamarsaeusrileyi,Lepidoptera,93.0,138.81,"Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-14, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",123,183.58,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-932, Mir-970, Mir-989, Mir-999, Mir-1000, Mir-12, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-932, Mir-970, Mir-971, Mir-989, Mir-999"
Melinaeamenophilus,Lepidoptera,47.0,70.15,"Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",60,89.55,"Mir-1000, Mir-12, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-932, Mir-970, Mir-989, Mir-999"
MelinaeamenophilusnsspAW2005,Lepidoptera,48.0,71.64,"Mir-14, Mir-242, Mir-3049, Mir-36, Mir-957",62,92.54,"Mir-1000, Mir-12, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-932, Mir-970, Mir-989, Mir-999"
Melitaeacinxia,Lepidoptera,99.0,147.76,"Bantam, Mir-1000, Mir-153, Mir-219, Mir-242, Mir-2796, Mir-29, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-306, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",111,165.67,"Mir-12, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-970, Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-970"
Mellictaathalia,Lepidoptera,152.0,226.87,"Mir-12, Mir-14, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-71, Mir-957, Mir-999, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",176,262.69,"Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-36, Mir-970, Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-970, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-970, Mir-999"
Melolonthamelolontha,Lepidoptera,91.0,135.82,"Mir-1993, Mir-22, Mir-242, Mir-278, Mir-306, Mir-36, Mir-1993, Mir-22, Mir-242, Mir-278, Mir-306, Mir-315, Mir-36",115,171.64,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-316, Mir-970, Mir-989, Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-316, Mir-970, Mir-989"
Melopsittacusundulatus,Lepidoptera,103.0,153.73,"Mir-1388, Mir-150, Mir-1781, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-459, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-737, Mir-76",109,162.69,"Mir-1559, Mir-1805, Mir-2001, Mir-2131, Mir-2984, Mir-726"
Mercenariamercenaria,Lepidoptera,42.0,62.69,"Mir-12, Mir-1984, Mir-1986, Mir-210, Mir-242",47,70.15,"Mir-1985, Mir-1990, Mir-1994, Mir-2001, Mir-2722"
Merionesunguiculatus,Lepidoptera,151.0,225.37,"Mir-1296, Mir-1307, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-3613, Mir-374, Mir-4057, Mir-452, Mir-458, Mir-460, Mir-590, Mir-6529, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76, Mir-877, Mir-885, Mir-9851",198,295.52,"Mir-1277, Mir-1301, Mir-1329, Mir-1343, Mir-1388, Mir-185, Mir-1911, Mir-1955, Mir-1962, Mir-217, Mir-2355, Mir-242, Mir-298, Mir-3072, Mir-3075, Mir-3112, Mir-326, Mir-345, Mir-346, Mir-351, Mir-383, Mir-384, Mir-432, Mir-448, Mir-4541, Mir-456, Mir-489, Mir-504, Mir-505, Mir-511, Mir-540, Mir-541, Mir-574, Mir-628, Mir-667, Mir-671, Mir-672, Mir-674, Mir-676, Mir-700, Mir-71, Mir-722, Mir-737, Mir-760, Mir-769, Mir-872, Mir-879"
