species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Bombuspicipes,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970",59,88.06,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Bombuspolaris,Lepidoptera,46.0,68.66,"Mir-153, Mir-242, Mir-36, Mir-970, Mir-989",59,88.06,"Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombuspratorum,Lepidoptera,90.0,134.33,"Mir-1175, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-750, Mir-970, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970",116,173.13,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989, Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Bombuspyrosoma,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombussibiricus,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-970, Mir-989",57,85.07,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombusskorikovi,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombussoroeensis,Lepidoptera,46.0,68.66,"Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombussuperbus,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombussylvestris,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombusterrestris,Lepidoptera,184.0,274.63,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",232,346.27,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombusturneri,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970",59,88.06,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Bombusvancouverensisnearcticus,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombusvosnesenskii,Lepidoptera,46.0,68.66,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombuswaltoni,Lepidoptera,46.0,68.66,"Mir-153, Mir-242, Mir-36, Mir-970, Mir-989",59,88.06,"Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Bombyliusdiscolor,Lepidoptera,91.0,135.82,"Let-7, Mir-133, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-242, Mir-2765, Mir-3049, Mir-36, Mir-375, Mir-71, Mir-750, Mir-929, Mir-971, Mir-989, Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-3049, Mir-36, Mir-375, Mir-71, Mir-750",109,162.69,"Mir-1175, Mir-14, Mir-22, Mir-2796, Mir-316, Mir-932, Mir-957, Mir-999, Mir-1175, Mir-14, Mir-193, Mir-22, Mir-2796, Mir-316, Mir-932, Mir-957, Mir-971, Mir-999"
Bombyliusmajor,Lepidoptera,90.0,134.33,"Mir-1993, Mir-242, Mir-2765, Mir-3049, Mir-375, Mir-71, Mir-750, Mir-1175, Mir-137, Mir-14, Mir-184, Mir-1993, Mir-242, Mir-2765, Mir-281, Mir-3049, Mir-31, Mir-36, Mir-375, Mir-71, Mir-750, Mir-988",112,167.16,"Mir-1175, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2796, Mir-316, Mir-36, Mir-932, Mir-957, Mir-971, Mir-999, Mir-153, Mir-193, Mir-22, Mir-2796, Mir-316, Mir-7, Mir-932, Mir-957, Mir-971, Mir-999"
Bombyxmandarina,Lepidoptera,45.0,67.16,"Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-92, Mir-957, Mir-988, Mir-999",54,80.6,"Mir-1000, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-306, Mir-929, Mir-932, Mir-970"
Bosgaurus,Lepidoptera,178.0,265.67,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",190,283.58,"Mir-134, Mir-1379, Mir-2114, Mir-325, Mir-350, Mir-590, Mir-598, Mir-672, Mir-676, Mir-71, Mir-722, Mir-737"
Bosmutus,Lepidoptera,176.0,262.69,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-221, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-361, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",187,279.1,"Mir-134, Mir-1379, Mir-2114, Mir-325, Mir-350, Mir-598, Mir-672, Mir-676, Mir-71, Mir-722, Mir-737"
Brachylomiaviminalis,Lepidoptera,91.0,135.82,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-34, Mir-957, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-957, Mir-999",122,182.09,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-275, Mir-2765, Mir-277, Mir-306, Mir-31, Mir-36, Mir-375, Mir-932, Mir-965, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-375, Mir-932, Mir-965, Mir-970, Mir-988"
Brassicogethesaeneus,Lepidoptera,47.0,70.15,Mir-278,63,94.03,"Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-36, Mir-750, Mir-965, Mir-970, Mir-989"
Brenthisino,Lepidoptera,51.0,76.12,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-71, Mir-970"
Buathralaborator,Lepidoptera,82.0,122.39,"Mir-153, Mir-242, Mir-36, Mir-970, Mir-989, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",117,174.63,"Mir-1000, Mir-124, Mir-14, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-278, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-67, Mir-929, Mir-932, Mir-965, Mir-971, Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-278, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-67, Mir-929, Mir-932, Mir-965, Mir-971"
Bubalusbubalis,Lepidoptera,175.0,261.19,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",190,283.58,"Mir-1301, Mir-1379, Mir-2114, Mir-325, Mir-350, Mir-590, Mir-592, Mir-598, Mir-672, Mir-676, Mir-722, Mir-725, Mir-737, Mir-744, Mir-769"
Bubobubo,Lepidoptera,101.0,150.75,"Mir-132, Mir-139, Mir-144, Mir-150, Mir-191, Mir-2001, Mir-203, Mir-208, Mir-210, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-451, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76",103,153.73,"Mir-1467, Mir-1781"
Bufobufo,Lepidoptera,90.0,134.33,"Mir-147, Mir-252, Mir-278, Mir-315, Mir-599",107,159.7,"Mir-1329, Mir-139, Mir-187, Mir-2001, Mir-2188, Mir-242, Mir-281, Mir-4057, Mir-451, Mir-4541, Mir-458, Mir-71, Mir-722, Mir-727, Mir-737, Mir-76, Mir-875"
Bufogargarizans,Lepidoptera,89.0,132.84,"Mir-2001, Mir-278, Mir-281, Mir-315, Mir-599, Mir-726",106,158.21,"Mir-1329, Mir-139, Mir-140, Mir-147, Mir-187, Mir-242, Mir-32, Mir-4057, Mir-451, Mir-4541, Mir-458, Mir-71, Mir-722, Mir-727, Mir-737, Mir-76, Mir-875"
Buteojaponicus,Lepidoptera,100.0,149.25,"Mir-139, Mir-150, Mir-191, Mir-2001, Mir-203, Mir-208, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-425, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-76",106,158.21,"Mir-1467, Mir-1641, Mir-1720, Mir-1781, Mir-2984, Mir-727"
Cairinamoschatadomestica,Lepidoptera,101.0,150.75,"Mir-132, Mir-150, Mir-1720, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4541, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-76",106,158.21,"Mir-1467, Mir-4057, Mir-726, Mir-737, Mir-875"
Calamotrophapaludella,Lepidoptera,81.0,120.9,"Mir-12, Mir-190, Mir-252, Mir-275, Mir-278, Mir-2796, Mir-281, Mir-282, Mir-3, Mir-3049, Mir-305, Mir-315, Mir-316, Mir-36, Mir-375, Mir-957, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",110,164.18,"Bantam, Mir-1000, Mir-153, Mir-184, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-22, Mir-242, Mir-276, Mir-2765, Mir-67, Mir-71, Mir-87, Mir-929, Mir-932, Mir-970, Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-970"
Calliphoravomitoria,Lepidoptera,90.0,134.33,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-29, Mir-3049, Mir-36, Mir-750, Mir-1993, Mir-2001, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-971",116,173.13,"Mir-1175, Mir-193, Mir-2001, Mir-275, Mir-306, Mir-71, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999, Mir-1175, Mir-153, Mir-193, Mir-275, Mir-29, Mir-306, Mir-750, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Callithrixjacchus,Lepidoptera,171.0,255.22,"Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-9851",192,286.57,"Mir-1271, Mir-1329, Mir-1343, Mir-1379, Mir-147, Mir-1788, Mir-2387, Mir-325, Mir-331, Mir-345, Mir-361, Mir-384, Mir-4541, Mir-458, Mir-511, Mir-590, Mir-653, Mir-672, Mir-722, Mir-737, Mir-770"
Callorhinusursinus,Lepidoptera,175.0,261.19,"Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76",190,283.58,"Mir-1379, Mir-1416, Mir-1805, Mir-2114, Mir-2355, Mir-2483, Mir-448, Mir-452, Mir-582, Mir-598, Mir-672, Mir-722, Mir-737, Mir-769, Mir-9851"
Camarhynchusparvulus,Lepidoptera,108.0,161.19,"Mir-2001, Mir-208, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-459, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-737, Mir-76, Mir-875",112,167.16,"Mir-1397, Mir-1451, Mir-599, Mir-71"
Camelusferus,Lepidoptera,174.0,259.7,"Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-223, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",189,282.09,"Mir-1251, Mir-1307, Mir-1805, Mir-197, Mir-2355, Mir-350, Mir-370, Mir-541, Mir-672, Mir-676, Mir-722, Mir-725, Mir-737, Mir-877, Mir-885"
Campaeamargaritaria,Lepidoptera,96.0,143.28,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",118,176.12,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970"
Camponotusfloridanus,Lepidoptera,43.0,64.18,"Mir-242, Mir-3049, Mir-36, Mir-970, Mir-989",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-316, Mir-375, Mir-929, Mir-932, Mir-965"
Canislupus,Lepidoptera,182.0,271.64,"Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",188,280.6,"Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760"
Canislupusfamiliaris,Lepidoptera,1435.0,2141.79,"Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-221, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-361, Mir-4057, Mir-450, Mir-452, Mir-4541, Mir-456, Mir-460, Mir-491, Mir-542, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-221, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-361, Mir-4057, Mir-450, Mir-452, Mir-4541, Mir-456, Mir-460, Mir-491, Mir-542, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",1496,2232.84,"Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-105, Mir-1277, Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-105, Mir-1277, Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-1251, Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-1251, Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-1251, Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760"
Cantharisrustica,Lepidoptera,93.0,138.81,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-278, Mir-3049, Mir-306, Mir-36, Mir-153, Mir-1993, Mir-242, Mir-278, Mir-3049, Mir-306, Mir-315, Mir-36",112,167.16,"Mir-14, Mir-22, Mir-2765, Mir-2796, Mir-281, Mir-3, Mir-929, Mir-970, Mir-989, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-281, Mir-3, Mir-929, Mir-970, Mir-989"
Caprahircus,Lepidoptera,321.0,479.1,"Mir-1301, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1912, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-488, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-1247, Mir-1249, Mir-1301, Mir-1397, Mir-1416, Mir-142, Mir-149, Mir-1662, Mir-1788, Mir-1805, Mir-185, Mir-1911, Mir-2001, Mir-203, Mir-2114, Mir-2184, Mir-2188, Mir-221, Mir-223, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-324, Mir-335, Mir-361, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-488, Mir-505, Mir-542, Mir-6715, Mir-675, Mir-676, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-877, Mir-935",359,535.82,"Mir-1329, Mir-134, Mir-1379, Mir-1911, Mir-2114, Mir-325, Mir-337, Mir-350, Mir-431, Mir-448, Mir-4541, Mir-598, Mir-672, Mir-676, Mir-71, Mir-7180, Mir-722, Mir-737, Mir-105, Mir-1277, Mir-1329, Mir-134, Mir-1379, Mir-186, Mir-1912, Mir-224, Mir-325, Mir-337, Mir-350, Mir-431, Mir-448, Mir-4541, Mir-598, Mir-652, Mir-672, Mir-7180, Mir-722, Mir-737"
Capreoluspygargus,Lepidoptera,174.0,259.7,"Mir-1397, Mir-1416, Mir-1662, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-384, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",192,286.57,"Mir-1329, Mir-1379, Mir-1788, Mir-2114, Mir-337, Mir-350, Mir-4057, Mir-431, Mir-448, Mir-452, Mir-486, Mir-598, Mir-653, Mir-672, Mir-676, Mir-7147, Mir-722, Mir-877"
Caradrinaclavipalpis,Lepidoptera,89.0,132.84,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-999, Mir-12, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-375, Mir-999",121,180.6,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-2001, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Carassiusauratusredvar,Lepidoptera,96.0,143.28,"Mir-1329, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4541, Mir-76, Mir-875",105,156.72,"Mir-147, Mir-191, Mir-2001, Mir-242, Mir-4057, Mir-71, Mir-7132, Mir-7133, Mir-729"
Carcharodoncarcharias,Lepidoptera,84.0,125.37,"Mir-147, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-315, Mir-4057, Mir-71, Mir-875",88,131.34,"Mir-139, Mir-2184, Mir-425, Mir-76"
Carcinaquercana,Lepidoptera,147.0,219.4,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999, Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",180,268.66,"Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-932, Mir-970, Mir-971, Mir-988, Mir-1000, Mir-193, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988, Mir-1000, Mir-193, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988"
Carettacaretta,Lepidoptera,105.0,156.72,"Mir-2001, Mir-252, Mir-278, Mir-281, Mir-315, Mir-722, Mir-76",111,165.67,"Mir-1416, Mir-242, Mir-4057, Mir-451, Mir-4541, Mir-71"
Carposinasasakii,Lepidoptera,46.0,68.66,"Mir-12, Mir-153, Mir-1993, Mir-22, Mir-3049, Mir-315, Mir-36, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-193, Mir-2001, Mir-219, Mir-242, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Carterocephaluspalaemon,Lepidoptera,89.0,132.84,"Mir-12, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-71, Mir-957, Mir-970, Mir-999",115,171.64,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-932, Mir-970, Mir-971, Mir-988, Mir-1000, Mir-137, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-87, Mir-932, Mir-971, Mir-988"
Catharusustulatus,Lepidoptera,104.0,155.22,"Mir-2001, Mir-208, Mir-242, Mir-278, Mir-315, Mir-4057, Mir-4541, Mir-459, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-76",114,170.15,"Mir-1397, Mir-1467, Mir-1559, Mir-1720, Mir-2131, Mir-281, Mir-2984, Mir-599, Mir-737, Mir-875"
Catocalafraxini,Lepidoptera,97.0,144.78,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-375",125,186.57,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
