species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Agriphilatristella,Lepidoptera,48,71.64,"Mir-3049, Mir-315, Mir-36, Mir-999",63,94.03,"Mir-1000, Mir-12, Mir-153, Mir-1993, Mir-216, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970"
Agriphilatristella,Lepidoptera,49,73.13,"Mir-12, Mir-3049, Mir-315, Mir-36, Mir-999",62,92.54,"Mir-1000, Mir-153, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970"
Agrocholacircellaris,Lepidoptera,47,70.15,Mir-3049,66,98.51,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Agrocholacircellaris,Lepidoptera,48,71.64,"Mir-3049, Mir-315, Mir-957",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Agrocholamacilenta,Lepidoptera,47,70.15,"Mir-12, Mir-3049, Mir-375, Mir-957",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Agrocholamacilenta,Lepidoptera,46,68.66,"Mir-3049, Mir-375, Mir-957",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-71, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Agrotisputa,Lepidoptera,46,68.66,"Mir-12, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988"
Agrotisputa,Lepidoptera,46,68.66,"Mir-12, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-375",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Agrypnusmurinus,Endopterygota,50,78.12,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-278, Mir-3049, Mir-36",57,89.06,"Mir-275, Mir-2765, Mir-306, Mir-316, Mir-965, Mir-970, Mir-989"
Agrypnusmurinus,Endopterygota,41,64.06,"Mir-12, Mir-14, Mir-2001, Mir-210, Mir-216, Mir-242, Mir-275, Mir-278, Mir-3049, Mir-315, Mir-971, Mir-989",52,81.25,"Mir-153, Mir-1993, Mir-276, Mir-2765, Mir-305, Mir-306, Mir-316, Mir-36, Mir-76, Mir-965, Mir-970"
Ailuropodamelanoleuca,Laurasiatheria,173,79.72,"Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-598, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-935",189,87.1,"Mir-1379, Mir-1416, Mir-147, Mir-1805, Mir-2114, Mir-224, Mir-2355, Mir-448, Mir-452, Mir-458, Mir-671, Mir-672, Mir-675, Mir-7180, Mir-722, Mir-877"
Allophyesoxyacanthae,Lepidoptera,46,68.66,"Mir-12, Mir-3049, Mir-315, Mir-36",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-375, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Allophyesoxyacanthae,Lepidoptera,47,70.15,"Mir-12, Mir-3049, Mir-315, Mir-957",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
